frame,Bone_z,Bone_001_z,Bone_002_z,Bone_003_z,Bone_004_z,Bone_005_z,Bone_006_z,Bone_007_z,Bone_009_z,Bone_010_z,Bone_008_z,Bone_011_z
47,0.0,-5.1161,-5.1161,-5.1161,-7.0874,-5.8989,-0.0247,1.0382,-0.0247,179.5318,-5.8989,-0.0
48,0.0,-5.1161,-5.1161,-5.1161,-7.0874,-5.8989,-0.0247,1.3033,-0.0247,179.388,-5.8989,-0.0
49,0.0,-5.1161,-5.1161,-5.1161,-7.0874,-5.8989,-0.0247,1.558,-0.0247,179.2487,-5.8989,-0.0
50,0.0,-5.1161,-5.1161,-5.1161,-7.0874,-5.8989,-0.0247,1.7986,-0.0247,179.1158,-5.8989,-0.0
51,0.0,-5.1161,-5.1161,-5.1161,-7.0874,-5.8989,-0.0247,2.0219,-0.0247,178.9911,-5.8989,-0.0
52,0.0,-5.1161,-5.1161,-5.1161,-7.0874,-5.8989,-0.0247,2.2247,-0.0247,178.8765,-5.8989,-0.0
53,0.0,-5.1161,-5.1161,-5.1161,-7.0874,-5.8989,-0.0247,2.4042,-0.0247,178.7737,-5.8989,-0.0
54,0.0,-5.1161,-5.1161,-5.1161,-7.0874,-5.8989,-0.0247,2.5573,-0.0247,178.6845,-5.8989,-0.0
55,0.0,-5.1161,-5.1161,-5.1161,-7.0874,-5.8989,-0.0247,2.6816,-0.0247,178.6106,-5.8989,-0.0
56,0.0,-5.1161,-5.1161,-5.1161,-7.0874,-5.8989,-0.0247,2.7741,-0.0247,178.5537,-5.8989,-0.0
57,0.0,-5.1161,-5.1161,-5.1161,-7.0874,-5.8989,-0.0247,2.8323,-0.0247,178.5156,-5.8989,-0.0
58,0.0,-5.1161,-5.1161,-5.1161,-7.0874,-5.8989,-0.0247,2.8533,-0.0247,178.4981,-5.8989,-0.0
59,0.0,-5.1161,-5.1161,-5.1161,-7.0874,-5.8989,-0.0247,2.8546,-0.0247,178.4914,-5.8989,-0.0
60,0.0,-5.1161,-5.1161,-5.1161,-7.0874,-5.8989,-0.0247,2.8558,-0.0247,178.4849,-5.8989,-0.0
61,0.0,-5.0994,-5.0994,-5.0994,-7.0829,-5.8877,0.0243,2.906,0.0243,178.5275,-5.8877,0.0491
62,0.0,-5.0499,-5.0499,-5.0499,-7.0691,-5.8542,0.1694,3.0521,0.1694,178.6663,-5.8542,0.1943
63,0.0,-4.9683,-4.9683,-4.9683,-7.0459,-5.7991,0.4073,3.291,0.4073,178.898,-5.7991,0.4326
64,0.0,-4.8552,-4.8552,-4.8552,-7.0129,-5.7226,0.7351,3.6198,0.7351,179.2197,-5.7226,0.7608
65,0.0,-4.7112,-4.7112,-4.7112,-6.9697,-5.6251,1.1498,4.0354,1.1498,179.6285,-5.6251,1.1761
66,0.0,-4.537,-4.537,-4.537,-6.916,-5.5071,1.6487,4.5351,1.6487,-179.8785,-5.5071,1.6756
67,0.0,-4.333,-4.333,-4.333,-6.8513,-5.3693,2.2289,5.1161,2.2289,-179.304,-5.3693,2.2566
68,0.0,-4.0997,-4.0997,-4.0997,-6.775,-5.2114,2.8878,5.7757,2.8878,-178.6507,-5.2114,2.9164
69,0.0,-3.8374,-3.8374,-3.8374,-6.6867,-5.0339,3.6226,6.5111,3.6226,-177.9214,-5.0339,3.6521
70,0.0,-3.5468,-3.5468,-3.5468,-6.5857,-4.8371,4.4306,7.3197,4.4306,-177.1189,-4.8371,4.4611
71,0.0,-3.228,-3.228,-3.228,-6.4714,-4.6217,5.3091,8.1987,5.3091,-176.2457,-4.6217,5.3407
72,0.0,-2.8815,-2.8815,-2.8815,-6.3432,-4.387,6.2553,9.1453,6.2553,-175.3046,-4.387,6.288
73,0.0,-2.5075,-2.5075,-2.5075,-6.2004,-4.1332,7.2664,10.1569,7.2664,-174.2986,-4.1332,7.3004
74,0.0,-2.1064,-2.1064,-2.1064,-6.0423,-3.861,8.3397,11.2305,8.3397,-173.2303,-3.861,8.3749
75,0.0,-1.6785,-1.6785,-1.6785,-5.8681,-3.5694,-170.5279,12.3632,-170.5279,-172.1028,-3.5694,-170.4914
76,0.0,-1.2241,-1.2241,-1.2241,-5.677,-3.2583,-169.3394,13.5519,-169.3393,-170.9189,-3.2583,-169.3016
77,0.0,-0.7434,-0.7434,-0.7434,-5.4683,-2.9282,-168.0976,14.7938,-168.0976,-169.6819,-2.9282,-168.0586
78,0.0,-0.2367,-0.2367,-0.2367,-5.2409,-2.5778,-166.8061,16.0855,-166.8061,-168.3949,-2.5778,-166.7657
79,0.0,0.2957,0.2957,0.2957,-4.9939,-2.2068,-165.4679,17.4237,-165.4679,-167.0611,-2.2068,-165.4261
80,0.0,0.8535,0.8535,0.8535,-4.7264,-1.8147,-164.0865,18.8051,-164.0864,-165.684,-1.8147,-164.0434
81,0.0,1.4364,1.4364,1.4364,-4.4378,-1.4021,-162.6653,20.2262,-162.6652,-164.2671,-1.4021,-162.621
82,0.0,2.044,2.044,2.044,-4.1265,-0.9663,-161.2079,21.6834,-161.2079,-162.8139,-0.9663,-161.1624
83,0.0,2.6761,2.6761,2.6761,-3.7917,-0.5072,-159.7182,23.173,-159.7182,-161.3282,-0.5072,-159.6715
84,0.0,3.3322,3.3322,3.3322,-3.4328,-0.0256,-158.1998,24.6911,-158.1998,-159.8137,-0.0256,-158.152
85,0.0,4.012,4.012,4.012,-3.0483,0.4814,-156.6567,26.2339,-156.6566,-158.2744,0.4814,-156.6078
86,0.0,4.7149,4.7149,4.7149,-2.6375,1.0138,-155.0928,27.7975,-155.0928,-156.7142,1.0138,-155.0428
87,0.0,5.4405,5.4405,5.4405,-2.1994,1.5725,-153.5122,29.3776,-153.5121,-155.1372,1.5725,-153.4613
88,0.0,6.1883,6.1883,6.1883,-1.7334,2.1579,-151.919,30.9704,-151.9189,-153.5475,2.1579,-151.8672
89,0.0,6.9575,6.9575,6.9575,-1.2395,2.7689,-150.3172,32.5716,-150.3172,-151.9492,2.7689,-150.2647
90,0.0,7.7477,7.7477,7.7477,-0.716,3.4091,-148.7112,34.1769,-148.7112,-150.3465,3.4091,-148.6581
91,0.0,8.5581,8.5581,8.5581,-0.1629,4.0775,-147.1052,35.7823,-147.1052,-148.7437,4.0775,-147.0514
92,0.0,9.3878,9.3878,9.3878,0.4201,4.7745,-145.5032,37.3835,-145.5032,-147.1449,4.7745,-145.4489
93,0.0,10.2362,10.2362,10.2362,1.0331,5.5003,-143.9097,38.9763,-143.9096,-145.5543,5.5003,-143.8548
94,0.0,11.1022,11.1022,11.1022,1.6759,6.2546,-142.3285,40.5566,-142.3285,-143.9761,6.2546,-142.2732
95,0.0,11.985,11.985,11.985,2.3482,7.0371,-140.764,42.1203,-140.764,-142.4144,7.0371,-140.7083
96,0.0,12.8834,12.8834,12.8834,3.0498,7.8476,-139.2201,43.6632,-139.22,-140.8732,7.8476,-139.1641
97,0.0,13.7962,13.7962,13.7962,3.7789,8.6832,-137.7007,45.1815,-137.7007,-139.3564,8.6832,-137.6446
98,0.0,14.7226,14.7226,14.7226,4.5367,9.5472,-136.21,46.6712,-136.2099,-137.8682,9.5472,-136.1537
99,0.0,15.6612,15.6612,15.6612,5.3214,10.4368,-134.7515,-131.8715,-134.7515,-136.4122,10.4368,-134.6951
100,0.0,16.6108,16.6108,16.6108,6.1318,11.3508,-133.3292,-130.4504,-133.3292,-134.9922,11.3508,-133.2727
